ifim_site_name,ifim_da_sqmi,metric,flow of IFIM_pctChg_10to50% withdrawals,pctchg 20% withdrawal,pctchg  30% withdrawal,pctchg 40 % withdrawal,pctchg 50% withdrawal,pctchg 10% withdrawal,s_adminid,s_ftype,X,s_fstatus,s_admincode,in_dataset_tag,in_timespan,in_xvar,in_yvar,in_sampres,in_quantile,in_station_agg,in_glo,in_ghi,containing_hydrocode,out_p,out_n,out_rsq,out_rsq_adj,out_m,out_b,out_breakpoint,isheadwater,huc8,IFIM.study.HUC8,River.name.or.region,IFIM.site.name.s.,Drainage.area.mi2,MAF,s_name,nt_numblost_10pct,nt_numblost_20pct,nt_numblost_30pct,nt_numblost_40pct,nt_numblost_50pct,nt_pctlost_10pct,nt_pctlost_20pct,nt_pctlost_30pct,nt_pctlost_40pct,nt_pctlost_50pct,flow
Above Harvell Dam,1342,smb_juv,Apr,-0.406804596,-1.538052438,-3.339144376,-6.091483817,0.16225181,380218,fe_quantreg,,active,74551_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_total,species,0.8,max,0,530,nhd_huc8_02080207,0,41,0.3647,0.3484,2.0811,15.5954,530,1,2080207,2080207,Appomattox,Above Harvell Dam,1342,1389.2,Quantile Regression_ aqbio_nt_total = f( erom_q0001e_apr )_ upper 80%,0.219265769,0.464384045,0.742276226,1.063079206,1.442508597,0.71526346,1.514859979,2.421367747,3.467854165,4.70558489,Apr
Above Harvell Dam,1342,smb_adult,Apr,3.99069667,5.441909108,6.227855776,5.97206006,2.085684476,380218,fe_quantreg,,active,74551_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_total,species,0.8,max,0,530,nhd_huc8_02080207,0,41,0.3647,0.3484,2.0811,15.5954,530,1,2080207,2080207,Appomattox,Above Harvell Dam,1342,1389.2,Quantile Regression_ aqbio_nt_total = f( erom_q0001e_apr )_ upper 80%,0.219265769,0.464384045,0.742276226,1.063079206,1.442508597,0.71526346,1.514859979,2.421367747,3.467854165,4.70558489,Apr
Above Harvell Dam,1342,smb_spawn,Apr,32.91859019,55.59629106,78.89480372,103.3653552,14.4381461,380218,fe_quantreg,,active,74551_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_total,species,0.8,max,0,530,nhd_huc8_02080207,0,41,0.3647,0.3484,2.0811,15.5954,530,1,2080207,2080207,Appomattox,Above Harvell Dam,1342,1389.2,Quantile Regression_ aqbio_nt_total = f( erom_q0001e_apr )_ upper 80%,0.219265769,0.464384045,0.742276226,1.063079206,1.442508597,0.71526346,1.514859979,2.421367747,3.467854165,4.70558489,Apr
Above Harvell Dam,1342,rbs_spawn,Apr,23.2335541,37.57100236,51.57539435,65.89476333,10.47729775,380218,fe_quantreg,,active,74551_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_total,species,0.8,max,0,530,nhd_huc8_02080207,0,41,0.3647,0.3484,2.0811,15.5954,530,1,2080207,2080207,Appomattox,Above Harvell Dam,1342,1389.2,Quantile Regression_ aqbio_nt_total = f( erom_q0001e_apr )_ upper 80%,0.219265769,0.464384045,0.742276226,1.063079206,1.442508597,0.71526346,1.514859979,2.421367747,3.467854165,4.70558489,Apr
Above Harvell Dam,1342,nh_adult,Apr,-18.0359255,-27.70502397,-37.45573334,-47.31788461,-8.696460274,380218,fe_quantreg,,active,74551_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_total,species,0.8,max,0,530,nhd_huc8_02080207,0,41,0.3647,0.3484,2.0811,15.5954,530,1,2080207,2080207,Appomattox,Above Harvell Dam,1342,1389.2,Quantile Regression_ aqbio_nt_total = f( erom_q0001e_apr )_ upper 80%,0.219265769,0.464384045,0.742276226,1.063079206,1.442508597,0.71526346,1.514859979,2.421367747,3.467854165,4.70558489,Apr
Above Harvell Dam,1342,nh_spawn,Apr,-21.13268889,-31.27341715,-36.9951822,-41.03879893,-10.39475967,380218,fe_quantreg,,active,74551_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_total,species,0.8,max,0,530,nhd_huc8_02080207,0,41,0.3647,0.3484,2.0811,15.5954,530,1,2080207,2080207,Appomattox,Above Harvell Dam,1342,1389.2,Quantile Regression_ aqbio_nt_total = f( erom_q0001e_apr )_ upper 80%,0.219265769,0.464384045,0.742276226,1.063079206,1.442508597,0.71526346,1.514859979,2.421367747,3.467854165,4.70558489,Apr
Above Harvell Dam,1342,bd_high_grad,Apr,34.80348817,65.40250422,74.39941495,62.39288181,15.11490506,380218,fe_quantreg,,active,74551_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_total,species,0.8,max,0,530,nhd_huc8_02080207,0,41,0.3647,0.3484,2.0811,15.5954,530,1,2080207,2080207,Appomattox,Above Harvell Dam,1342,1389.2,Quantile Regression_ aqbio_nt_total = f( erom_q0001e_apr )_ upper 80%,0.219265769,0.464384045,0.742276226,1.063079206,1.442508597,0.71526346,1.514859979,2.421367747,3.467854165,4.70558489,Apr
Above Harvell Dam,1342,bd_low_grad,Apr,28.99976875,43.72027553,55.92848838,66.80122275,12.9253116,380218,fe_quantreg,,active,74551_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_total,species,0.8,max,0,530,nhd_huc8_02080207,0,41,0.3647,0.3484,2.0811,15.5954,530,1,2080207,2080207,Appomattox,Above Harvell Dam,1342,1389.2,Quantile Regression_ aqbio_nt_total = f( erom_q0001e_apr )_ upper 80%,0.219265769,0.464384045,0.742276226,1.063079206,1.442508597,0.71526346,1.514859979,2.421367747,3.467854165,4.70558489,Apr
Above Harvell Dam,1342,shallow_slow,Apr,58.20292533,93.1459095,123.0509346,142.7575235,23.53116762,380218,fe_quantreg,,active,74551_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_total,species,0.8,max,0,530,nhd_huc8_02080207,0,41,0.3647,0.3484,2.0811,15.5954,530,1,2080207,2080207,Appomattox,Above Harvell Dam,1342,1389.2,Quantile Regression_ aqbio_nt_total = f( erom_q0001e_apr )_ upper 80%,0.219265769,0.464384045,0.742276226,1.063079206,1.442508597,0.71526346,1.514859979,2.421367747,3.467854165,4.70558489,Apr
Above Harvell Dam,1342,shallow_fast,Apr,23.46532944,27.22516909,35.11206617,29.57611541,12.03916023,380218,fe_quantreg,,active,74551_fe_quantreg,bpj-530,full,erom_q0001e_apr,aqbio_nt_total,species,0.8,max,0,530,nhd_huc8_02080207,0,41,0.3647,0.3484,2.0811,15.5954,530,1,2080207,2080207,Appomattox,Above Harvell Dam,1342,1389.2,Quantile Regression_ aqbio_nt_total = f( erom_q0001e_apr )_ upper 80%,0.219265769,0.464384045,0.742276226,1.063079206,1.442508597,0.71526346,1.514859979,2.421367747,3.467854165,4.70558489,Apr
