Supplemental Table S4.  Percent habitat change and Percent Richness chanage modeled for IFIM sites for flow reduction scenarios 10% through 50%. [See table 4 in the text for IFIM site information.,,,,,,
Flow Reduction Scenario,IFIM site name,flow,N Rows (number of habitat fish guild metrics included in the analysis),Median Percent Change Habitat,Percent Richness change from HUC8 ELF,Ratio %TaxaLoss:%habChange
10% flow reduction,Craig,Jul,20,-0.71,-0.58,-0.83
10% flow reduction,Dunlap,Jul,20,-4.12,-0.61,-0.15
10% flow reduction,North Anna Coastal Plain,Jul,12,-4.68,-0.64,-0.14
10% flow reduction,North Anna Fall Zone,Jul,13,-4.93,-0.64,-0.13
10% flow reduction,North Anna Piedmont,Jul,13,-1.92,-0.64,-0.34
10% flow reduction,Plains Mill,Jul,5,-4.59,-1.29,-0.28
10% flow reduction,Craig,Aug,20,-0.95,-0.5,-0.52
10% flow reduction,Dunlap,Aug,20,-5.23,-0.52,-0.1
10% flow reduction,North Anna Coastal Plain,Aug,12,-8.05,-0.65,-0.08
10% flow reduction,North Anna Fall Zone,Aug,13,-5.65,-0.65,-0.12
10% flow reduction,North Anna Piedmont,Aug,13,-2.1,-0.65,-0.31
10% flow reduction,Plains Mill,Aug,5,-4.86,-1.18,-0.24
10% flow reduction,Craig,Sep,20,-1.2,-0.49,-0.41
10% flow reduction,Dunlap,Sep,20,-5.65,-0.51,-0.09
10% flow reduction,North Anna Coastal Plain,Sep,12,-8.81,-0.59,-0.07
10% flow reduction,North Anna Fall Zone,Sep,13,-6.43,-0.59,-0.09
10% flow reduction,North Anna Piedmont,Sep,13,-2.15,-0.59,-0.28
10% flow reduction,Plains Mill,Sep,5,-5.14,-1.12,-0.22
10% flow reduction,Craig,MAF,20,1.19,-0.6,0.5
10% flow reduction,Dunlap,MAF,20,-1.32,-0.62,-0.47
10% flow reduction,North Anna Coastal Plain,MAF,12,-3.82,-0.67,-0.18
10% flow reduction,North Anna Fall Zone,MAF,13,-4.76,-0.67,-0.14
10% flow reduction,North Anna Piedmont,MAF,13,-1.75,-0.68,-0.39
10% flow reduction,Plains Mill,MAF,5,1.08,-1.38,1.27
,,JAS,,-4.287222222,-0.691111111,-0.244444444
,,MAF,,-1.563333333,-0.77,0.098333333
10% flow reduction,Craig,Mar,20,3.84,-0.64,0.17
10% flow reduction,Dunlap,Mar,20,3.37,-0.67,0.2
10% flow reduction,North Anna Coastal Plain,Mar,12,6.85,-0.87,0.13
10% flow reduction,North Anna Fall Zone,Mar,13,-0.75,-0.87,-1.16
10% flow reduction,North Anna Piedmont,Mar,13,2.89,-0.87,0.3
10% flow reduction,Plains Mill,Mar,5,14.19,-2.2,0.16
10% flow reduction,Craig,May,20,2.25,-0.52,0.23
10% flow reduction,Dunlap,May,20,1.13,-0.54,0.48
10% flow reduction,North Anna Coastal Plain,May,12,-1.25,-0.66,-0.53
10% flow reduction,North Anna Fall Zone,May,13,-1.19,-0.66,-0.56
10% flow reduction,North Anna Piedmont,May,13,-0.04,-0.66,-15.55
10% flow reduction,Plains Mill,May,5,6.29,-1.38,0.22
10% flow reduction,Craig,Nov,20,-0.11,-0.42,-3.71
10% flow reduction,Dunlap,Nov,20,-2.84,-0.44,-0.15
10% flow reduction,North Anna Coastal Plain,Nov,12,-4.45,-0.59,-0.13
10% flow reduction,North Anna Fall Zone,Nov,13,-5.65,-0.59,-0.11
10% flow reduction,North Anna Piedmont,Nov,13,-2.09,-0.6,-0.28
10% flow reduction,Plains Mill,Nov,5,-3.35,-1.18,-0.35
10% flow reduction,Craig,Oct,20,-0.79,-0.38,-0.48
10% flow reduction,Dunlap,Oct,20,-4.88,-0.39,-0.08
10% flow reduction,North Anna Coastal Plain,Oct,12,-4.99,-0.56,-0.11
10% flow reduction,North Anna Fall Zone,Oct,13,-5.77,-0.56,-0.1
10% flow reduction,North Anna Piedmont,Oct,13,-2.14,-0.56,-0.26
10% flow reduction,Plains Mill,Oct,5,-4.89,-0.92,-0.19
10% flow reduction,Craig,Apr,20,2.86,-0.55,0.19
10% flow reduction,Dunlap,Apr,20,2.39,-0.58,0.24
10% flow reduction,North Anna Coastal Plain,Apr,12,3.78,-0.65,0.17
10% flow reduction,North Anna Fall Zone,Apr,13,-1.03,-0.65,-0.63
10% flow reduction,North Anna Piedmont,Apr,13,0.81,-0.65,0.8
10% flow reduction,Plains Mill,Apr,5,10.46,-1.43,0.14
10% flow reduction,Craig,Dec,20,1.53,-0.52,0.34
10% flow reduction,Dunlap,Dec,20,-0.41,-0.54,-1.32
10% flow reduction,North Anna Coastal Plain,Dec,12,-1.14,-0.66,-0.58
10% flow reduction,North Anna Fall Zone,Dec,13,-2.92,-0.66,-0.23
10% flow reduction,North Anna Piedmont,Dec,13,-0.73,-0.66,-0.9
10% flow reduction,Plains Mill,Dec,5,1.76,-1.5,0.85
10% flow reduction,Craig,Feb,20,2.99,-0.69,0.23
10% flow reduction,Dunlap,Feb,20,2.48,-0.73,0.29
10% flow reduction,North Anna Coastal Plain,Feb,12,3.95,-1,0.25
10% flow reduction,North Anna Fall Zone,Feb,13,-1.01,-0.99,-0.98
10% flow reduction,North Anna Piedmont,Feb,13,1.22,-1,0.82
10% flow reduction,Plains Mill,Feb,5,6.75,-2.24,0.33
10% flow reduction,Craig,Jan,20,2.04,-0.63,0.31
10% flow reduction,Dunlap,Jan,20,1.14,-0.66,0.58
10% flow reduction,North Anna Coastal Plain,Jan,12,1.44,-0.77,0.54
10% flow reduction,North Anna Fall Zone,Jan,13,-1.16,-0.77,-0.66
10% flow reduction,North Anna Piedmont,Jan,13,0.76,-0.78,1.03
10% flow reduction,Plains Mill,Jan,5,4.37,-2.02,0.46
10% flow reduction,Craig,Jun,20,0.4,-0.59,1.46
10% flow reduction,Dunlap,Jun,20,-1.18,-0.61,-0.52
10% flow reduction,North Anna Coastal Plain,Jun,12,-4.42,-0.63,-0.14
10% flow reduction,North Anna Fall Zone,Jun,13,-4.8,-0.63,-0.13
10% flow reduction,North Anna Piedmont,Jun,13,-1.73,-0.63,-0.37
10% flow reduction,Plains Mill,Jun,5,0.04,-1.29,34.96
20% flow reduction,Craig,Apr,20,8.1,-1.17,0.14
20% flow reduction,Dunlap,Apr,20,4.42,-1.22,0.28
20% flow reduction,North Anna Coastal Plain,Apr,12,1.81,-1.37,0.76
20% flow reduction,North Anna Fall Zone,Apr,13,-2.21,-1.37,-0.62
20% flow reduction,North Anna Piedmont,Apr,13,1.52,-1.38,0.9
20% flow reduction,Plains Mill,Apr,5,17.31,-3.03,0.18
20% flow reduction,Craig,Aug,20,-1.84,-1.05,-0.57
20% flow reduction,Dunlap,Aug,20,-11.08,-1.09,-0.1
20% flow reduction,North Anna Coastal Plain,Aug,12,-17.16,-1.38,-0.08
20% flow reduction,North Anna Fall Zone,Aug,13,-12.72,-1.38,-0.11
20% flow reduction,North Anna Piedmont,Aug,13,-4.41,-1.38,-0.31
20% flow reduction,Plains Mill,Aug,5,-10.15,-2.51,-0.25
20% flow reduction,Craig,Dec,20,3.26,-1.1,0.34
20% flow reduction,Dunlap,Dec,20,-1.52,-1.15,-0.76
20% flow reduction,North Anna Coastal Plain,Dec,12,-3.19,-1.4,-0.44
20% flow reduction,North Anna Fall Zone,Dec,13,-9.3,-1.4,-0.15
20% flow reduction,North Anna Piedmont,Dec,13,-1.36,-1.4,-1.03
20% flow reduction,Plains Mill,Dec,5,4.55,-3.17,0.7
20% flow reduction,Craig,Feb,20,6.11,-1.47,0.24
20% flow reduction,Dunlap,Feb,20,5.24,-1.55,0.3
20% flow reduction,North Anna Coastal Plain,Feb,12,3.86,-2.11,0.55
20% flow reduction,North Anna Fall Zone,Feb,13,-2.14,-2.1,-0.98
20% flow reduction,North Anna Piedmont,Feb,13,2.38,-2.12,0.89
20% flow reduction,Plains Mill,Feb,5,11.93,-4.74,0.4
20% flow reduction,Craig,Jan,20,5.21,-1.34,0.26
20% flow reduction,Dunlap,Jan,20,1.63,-1.4,0.86
20% flow reduction,North Anna Coastal Plain,Jan,12,-1.63,-1.64,-1
20% flow reduction,North Anna Fall Zone,Jan,13,-2.36,-1.64,-0.69
20% flow reduction,North Anna Piedmont,Jan,13,0.39,-1.64,4.25
20% flow reduction,Plains Mill,Jan,5,8.23,-4.28,0.52
20% flow reduction,Craig,Jul,20,-1.43,-1.24,-0.87
20% flow reduction,Dunlap,Jul,20,-9.28,-1.29,-0.14
20% flow reduction,North Anna Coastal Plain,Jul,12,-12.38,-1.36,-0.11
20% flow reduction,North Anna Fall Zone,Jul,13,-11.05,-1.36,-0.12
20% flow reduction,North Anna Piedmont,Jul,13,-4.32,-1.36,-0.32
20% flow reduction,Plains Mill,Jul,5,-9.71,-2.74,-0.28
20% flow reduction,Craig,Jun,20,0.36,-1.24,3.44
20% flow reduction,Dunlap,Jun,20,-2.68,-1.3,-0.48
20% flow reduction,North Anna Coastal Plain,Jun,12,-9.06,-1.34,-0.15
20% flow reduction,North Anna Fall Zone,Jun,13,-9.99,-1.34,-0.13
20% flow reduction,North Anna Piedmont,Jun,13,-3.76,-1.34,-0.36
20% flow reduction,Plains Mill,Jun,5,0.98,-2.73,2.78
20% flow reduction,Craig,MAF,20,2.68,-1.27,0.47
20% flow reduction,Dunlap,MAF,20,-2.74,-1.32,-0.48
20% flow reduction,North Anna Coastal Plain,MAF,12,-8.44,-1.43,-0.17
20% flow reduction,North Anna Fall Zone,MAF,13,-9.99,-1.43,-0.14
20% flow reduction,North Anna Piedmont,MAF,13,-3.81,-1.43,-0.38
20% flow reduction,Plains Mill,MAF,5,3.14,-2.91,0.93
20% flow reduction,Craig,Mar,20,8.56,-1.35,0.16
20% flow reduction,Dunlap,Mar,20,7.99,-1.42,0.18
20% flow reduction,North Anna Coastal Plain,Mar,12,12.44,-1.84,0.15
20% flow reduction,North Anna Fall Zone,Mar,13,-2.07,-1.84,-0.89
20% flow reduction,North Anna Piedmont,Mar,13,5.01,-1.85,0.37
20% flow reduction,Plains Mill,Mar,5,27.64,-4.66,0.17
20% flow reduction,Craig,May,20,5.56,-1.11,0.2
20% flow reduction,Dunlap,May,20,1.15,-1.15,1
20% flow reduction,North Anna Coastal Plain,May,12,-2.56,-1.4,-0.55
20% flow reduction,North Anna Fall Zone,May,13,-2.41,-1.4,-0.58
20% flow reduction,North Anna Piedmont,May,13,0.51,-1.41,2.74
20% flow reduction,Plains Mill,May,5,11.16,-2.92,0.26
20% flow reduction,Craig,Nov,20,-0.57,-0.89,-1.57
20% flow reduction,Dunlap,Nov,20,-6.57,-0.92,-0.14
20% flow reduction,North Anna Coastal Plain,Nov,12,-9.47,-1.26,-0.13
20% flow reduction,North Anna Fall Zone,Nov,13,-12.37,-1.26,-0.1
20% flow reduction,North Anna Piedmont,Nov,13,-4.41,-1.26,-0.29
20% flow reduction,Plains Mill,Nov,5,-7.47,-2.49,-0.33
20% flow reduction,Craig,Oct,20,-1.78,-0.79,-0.45
20% flow reduction,Dunlap,Oct,20,-10.83,-0.82,-0.08
20% flow reduction,North Anna Coastal Plain,Oct,12,-15.46,-1.19,-0.08
20% flow reduction,North Anna Fall Zone,Oct,13,-12.72,-1.19,-0.09
20% flow reduction,North Anna Piedmont,Oct,13,-4.44,-1.19,-0.27
20% flow reduction,Plains Mill,Oct,5,-10.05,-1.96,-0.19
20% flow reduction,Craig,Sep,20,-3.55,-1.05,-0.3
20% flow reduction,Dunlap,Sep,20,-11.76,-1.09,-0.09
20% flow reduction,North Anna Coastal Plain,Sep,12,-17.65,-1.25,-0.07
20% flow reduction,North Anna Fall Zone,Sep,13,-13.07,-1.25,-0.1
20% flow reduction,North Anna Piedmont,Sep,13,-4.52,-1.26,-0.28
20% flow reduction,Plains Mill,Sep,5,-10.71,-2.36,-0.22
30% flow reduction,Craig,Apr,20,15.1,-1.87,0.12
30% flow reduction,Dunlap,Apr,20,7.66,-1.95,0.25
30% flow reduction,North Anna Coastal Plain,Apr,12,-1.92,-2.19,-1.14
30% flow reduction,North Anna Fall Zone,Apr,13,-3.56,-2.19,-0.61
30% flow reduction,North Anna Piedmont,Apr,13,3.09,-2.2,0.71
30% flow reduction,Plains Mill,Apr,5,21.78,-4.85,0.22
30% flow reduction,Craig,Aug,20,-3.48,-1.69,-0.48
30% flow reduction,Dunlap,Aug,20,-17.49,-1.75,-0.1
30% flow reduction,North Anna Coastal Plain,Aug,12,-26.55,-2.2,-0.08
30% flow reduction,North Anna Fall Zone,Aug,13,-19.8,-2.2,-0.11
30% flow reduction,North Anna Piedmont,Aug,13,-7.24,-2.21,-0.31
30% flow reduction,Plains Mill,Aug,5,-16.12,-4.01,-0.25
30% flow reduction,Craig,Dec,20,6.19,-1.76,0.28
30% flow reduction,Dunlap,Dec,20,-2.17,-1.83,-0.85
30% flow reduction,North Anna Coastal Plain,Dec,12,-5.8,-2.24,-0.39
30% flow reduction,North Anna Fall Zone,Dec,13,-14.46,-2.23,-0.15
30% flow reduction,North Anna Piedmont,Dec,13,-2.13,-2.24,-1.05
30% flow reduction,Plains Mill,Dec,5,9.3,-5.07,0.54
30% flow reduction,Craig,Feb,20,13.33,-2.35,0.18
